,Valence,Dominance,Arousal,Frequency,Effect_Size,P_Value
lowering,0.286,0.363,0.236,3.78,0.0750780427853323,0.4412797711355893
lowest,0.312,0.304,0.129,4.41,0.2843974689347028,0.2847621542984022
lowlands,0.323,0.29,0.331,2.91,0.1209383087836644,0.4035621405492566
lowlife,0.296,0.529,0.309,2.49,-1.0052491270556705,0.9773578821386324
lowly,0.562,0.294,0.417,3.27,-1.301851400695936,0.9956330165040774
lox,0.49,0.373,0.318,2.65,-0.0816319651507416,0.566329068429863
loyal,0.896,0.265,0.657,4.2,-0.8817724090252931,0.962943525801862
loyalty,0.885,0.406,0.793,4.17,-0.7621800261784645,0.93687557397252
lsd,0.375,0.471,0.39,3.25,-0.556262667776081,0.8670827190802102
luau,0.594,0.545,0.296,2.36,0.6181053523583232,0.1091004566422733
lube,0.552,0.49,0.411,3.13,0.1699257563974321,0.3595887362888363
lubricant,0.656,0.55,0.454,3.05,0.2769261382004639,0.2893943033110471
lubricate,0.552,0.49,0.47,2.43,0.3260153540849011,0.2635446967181816
lubrication,0.624,0.646,0.491,2.97,0.2877420941445162,0.280057665628979
lucid,0.771,0.49,0.705,3.27,-0.0488162875930267,0.5378966614294194
luck,0.854,0.49,0.717,4.91,-0.34635643040648,0.7542782770713605
luckiest,0.917,0.69,0.852,2.99,-0.0299783036589526,0.5187604508915651
lucky,0.96,0.61,0.793,4.77,0.2355382742030957,0.321529633550364
lucrative,0.729,0.519,0.798,3.56,-0.4621788771691416,0.8227021071009037
ludicrous,0.137,0.553,0.274,3.34,-0.4120515151681758,0.7981364572444438
lug,0.344,0.443,0.34,3.09,-1.1968262029252077,0.9918441660201998
luggage,0.561,0.226,0.319,3.8,0.4475424187680418,0.1856859150810969
lukewarm,0.573,0.3,0.241,3.09,-0.0301461428227635,0.5280937872628113
lull,0.602,0.13,0.402,3.08,-0.7230772550732493,0.9245229601241796
lullaby,0.796,0.156,0.339,3.08,0.5316274433195849,0.1434947527759398
lumbar,0.323,0.418,0.342,3.09,0.406981156746301,0.2117870052245291
lumber,0.517,0.184,0.373,3.59,-1.5261747795827023,0.9988136402199812
lumbering,0.354,0.561,0.655,2.69,-1.5895465021707609,0.999363783932506
lumberjack,0.5,0.66,0.726,2.72,-0.8581592337508526,0.9573615767540412
luminescent,0.796,0.55,0.526,2.43,0.973396675622836,0.0269787904083499
luminous,0.918,0.392,0.783,3.24,1.0783183028279428,0.0147716367780464
lump,0.438,0.337,0.463,3.71,0.2006223959887054,0.3406452471278148
lumpy,0.271,0.378,0.365,2.84,0.5396269917702468,0.1464480548279454
lunacy,0.132,0.847,0.33,2.91,-0.4827992541415143,0.8321917868110256
lunar,0.562,0.296,0.427,3.77,-0.2503080768594249,0.69294894159656
lunatic,0.125,0.792,0.442,3.43,-0.7982079323123314,0.9434438849485136
lunch,0.88,0.41,0.542,4.66,0.2624651974124089,0.3025273927572109
lunchbox,0.663,0.346,0.346,2.72,0.0359711731175679,0.4736402419229902
luncheon,0.837,0.24,0.441,3.31,1.050668924204622,0.017972164386069
lunchtime,0.896,0.398,0.444,3.33,0.1792210584834387,0.3565903614733212
lung,0.51,0.292,0.629,4.1,0.5868339547578902,0.1196601724587596
lunge,0.354,0.721,0.509,2.85,-0.3799403635115506,0.7738608857406846
lungs,0.531,0.352,0.555,3.97,0.406701651424622,0.2047934737673251
lurch,0.404,0.694,0.363,2.79,0.1998053305096968,0.3479353287881475
lure,0.439,0.565,0.3,3.67,-0.7204270521966935,0.9270878744930856
lurid,0.186,0.833,0.536,2.73,0.5281214338444746,0.1427951260674568
lurk,0.219,0.74,0.655,3.1,-0.0161134925349841,0.5150479104057466
lurking,0.421,0.781,0.575,3.53,-0.2853211216835745,0.7125577968887303
luscious,0.885,0.552,0.545,2.99,1.4111846262063348,0.0026274486950194
lush,0.74,0.783,0.833,3.55,0.7809591470180184,0.0598527977131101
lust,0.469,0.944,0.518,3.72,0.6946001919103774,0.0824263940210746
luster,0.833,0.566,0.558,2.96,0.4162269650298999,0.2053024222270867
lustful,0.427,0.896,0.643,2.66,0.9907958079259156,0.0225606821821917
lustrous,0.771,0.606,0.598,2.66,1.0068256663079127,0.021626424786495
lusty,0.469,0.941,0.673,2.8,1.3420403417886546,0.0033094979606198
lute,0.459,0.407,0.5,2.87,-0.8913176344582185,0.9645761433790782
luxuriant,0.76,0.745,0.812,2.35,0.3358148188651577,0.2473392247754289
luxurious,0.947,0.644,0.754,3.55,1.0355906800450827,0.0189100418378954
luxury,0.932,0.673,0.75,4.35,0.7981860166032764,0.0538519283239429
lycra,0.52,0.449,0.328,2.65,0.5071356052870115,0.1549481548752289
lye,0.378,0.396,0.443,2.72,-0.0610534533044587,0.5489192039619529
lying,0.208,0.704,0.317,4.67,-0.249001460942046,0.6887977986251949
lymph,0.398,0.51,0.39,3.2,0.6967793469077307,0.0802702376037904
lymphatic,0.38,0.509,0.472,2.82,0.8158504353607542,0.0509372044727384
lymphoma,0.208,0.645,0.33,3.27,0.3941701931860378,0.2186043946817404
lynch,0.167,0.885,0.482,3.94,-0.9975689417001746,0.9765378576023256
lynching,0.135,0.92,0.548,3.06,-0.7261671738011316,0.930392645894027
lynx,0.51,0.59,0.567,3.06,-0.0974999164600119,0.5800232280439729
lyre,0.719,0.347,0.414,2.61,-0.7820308661548835,0.9435454282249228
lyric,0.702,0.269,0.464,3.63,0.2187964980179132,0.3290033710562576
lyrical,0.708,0.451,0.618,3.43,-0.1721746549779096,0.6332405013116401
lyrics,0.582,0.214,0.333,4.35,-0.0735081002533447,0.5525144965838034
macadamia,0.635,0.33,0.434,2.53,1.1406073668921652,0.0114717332749803
macarena,0.802,0.601,0.368,2.44,0.4709117092645992,0.1760194554966433
macaroni,0.816,0.41,0.382,3.11,0.4158359127962803,0.2007865567563257
mace,0.45,0.412,0.415,3.33,-0.4033151700734825,0.7889601610258921
mach,0.541,0.432,0.463,3.25,-0.8426522026874319,0.9535811674334198
machete,0.26,0.69,0.474,3.15,-0.9867503308893426,0.9748709792875336
machine,0.51,0.5,0.707,4.9,-0.2478303601783259,0.6905735522103965
machinery,0.458,0.615,0.629,4.02,-0.5242216604525518,0.8513270059407847
machinist,0.49,0.598,0.721,2.75,-1.075169108918009,0.9844131690319684
macho,0.643,0.69,0.676,3.26,-0.8870166329260807,0.9627161807455296
mackerel,0.418,0.423,0.426,3.08,-1.091946716513541,0.985070186718208
macro,0.552,0.469,0.647,3.71,0.4121995705183013,0.2055289713527666
mad,0.219,0.873,0.277,4.74,-0.4369318003786049,0.811142678706271
madam,0.58,0.308,0.571,3.59,1.2097548371458835,0.0078743047315099
madame,0.604,0.5,0.635,3.8,1.3127857132606384,0.0045994410593376
madden,0.329,0.602,0.457,3.53,-0.1792465447262171,0.6361628484739871
madder,0.323,0.853,0.267,2.59,-0.4561360270887695,0.8209154191838661
mademoiselle,0.752,0.459,0.461,2.98,1.5282530199240634,0.0011547308853074
madhouse,0.156,0.736,0.44,2.69,-0.2752377338231791,0.7096750091734203
madman,0.135,0.88,0.312,3.22,-1.07562451841229,0.985410508278878
madness,0.104,0.804,0.44,3.97,-0.5671505879588946,0.8711522812883234
maestro,0.823,0.357,0.849,3.26,-1.6844808165686282,0.9996733629092592
mafia,0.204,0.867,0.676,3.83,-1.0130643122677694,0.9784729502733264
magazine,0.615,0.332,0.377,4.74,0.986029949862194,0.0238702963253636
mage,0.622,0.373,0.453,3.06,-0.0975345117857207,0.5750769242871904
magenta,0.635,0.275,0.415,3.02,1.058313257146777,0.0170396309684616
maggot,0.235,0.5,0.235,2.78,-0.9856678782609316,0.976366425692313
magic,0.868,0.663,0.578,4.76,-0.3470177716175252,0.7564477531038688
magical,0.875,0.651,0.595,4.22,0.3710572541105598,0.2252258041087372
magician,0.714,0.657,0.551,3.53,-1.2625839564961892,0.9943288409721732
magistrate,0.587,0.541,0.904,3.71,-1.0633919731460415,0.9824286511482998
magma,0.323,0.623,0.609,3.19,0.3091498269742888,0.2683845385309076
magna,0.605,0.49,0.652,3.26,0.1415412683772088,0.3858689999651882
magnate,0.627,0.708,0.868,3.04,-0.7397172430162504,0.9299220139188
magnesium,0.542,0.32,0.321,3.49,0.4659046972078176,0.1667576989689863
magnet,0.571,0.318,0.553,3.73,0.4871061365803937,0.1687407734008756
magnetic,0.612,0.529,0.673,4.17,0.5235528092958015,0.1476260033041712
magnetism,0.63,0.529,0.741,3.03,0.1732792741210911,0.3660975096004099
magnetite,0.531,0.49,0.581,2.57,1.0837368254895516,0.0145449313880352
magnification,0.89,0.615,0.88,2.93,0.1501351633486571,0.3830788635858995
magnificence,0.802,0.81,0.92,2.79,0.1562033706742692,0.3802882861901289
magnificent,1.0,0.68,0.886,4.04,-0.2187039884483906,0.6707433670942692
magnifier,0.469,0.216,0.345,2.27,-0.0342310605678711,0.5207434683018612
magnify,0.729,0.561,0.839,2.77,-0.6332908980566072,0.8964115940920308
magnifying,0.594,0.265,0.406,3.0,-0.0049842344333531,0.5086237580478061
magnitude,0.608,0.613,0.774,4.0,-0.0852141924202672,0.5628990150918299
magnolia,0.558,0.343,0.379,3.21,1.1428088163394496,0.0121968735490258
magpie,0.5,0.458,0.327,2.9,0.919591553135076,0.0343056362445923
mahjong,0.556,0.418,0.44,2.63,0.8568306890602552,0.0448756585770605
mahogany,0.602,0.225,0.393,3.29,-0.1001878721934235,0.5783090613044557
maid,0.406,0.324,0.3,3.86,1.5828176002874357,0.0007746711753958
maiden,0.755,0.396,0.461,3.82,1.3045716489355186,0.0041332538983948
mail,0.615,0.231,0.548,4.72,0.3625056608654659,0.2376482752429192
mailbox,0.573,0.222,0.404,3.31,0.8366878664211314,0.0460562437278786
mailing,0.688,0.324,0.375,3.6,0.0381040216221071,0.4617831351460209
mailman,0.659,0.418,0.462,2.88,-0.5585658379193195,0.8688044559350131
maim,0.133,0.724,0.496,2.64,-0.6411031875838894,0.9035918342760526
main,0.667,0.51,0.811,5.24,-0.5189170966083322,0.8497080941138525
mainframe,0.531,0.49,0.557,2.99,-1.1881823437879095,0.9909817387075256
mainland,0.68,0.407,0.806,3.95,0.2667153191464256,0.2992808742075644
mainstay,0.694,0.4,0.713,3.06,-0.8544084867157989,0.9568570906339549
mainstream,0.653,0.527,0.66,4.26,0.1141541007811271,0.4110161804882082
maintain,0.684,0.398,0.647,4.65,-0.2002475011872856,0.6549461328372937
maintenance,0.592,0.41,0.545,4.55,-0.2824619162399295,0.7156861320164492
majestic,0.948,0.731,0.906,3.57,-0.525901868862749,0.8545240230466059
majesty,0.823,0.602,0.955,4.05,-0.874640751841829,0.9610983754252342
major,0.684,0.538,0.874,5.3,-0.3590363968727078,0.7639902494958988
majority,0.684,0.56,0.93,4.94,-0.4603070553091557,0.8236251735594795
make,0.684,0.42,0.48,6.08,-0.2954514846392868,0.7237454952151428
makeover,0.771,0.51,0.596,3.47,1.449226481031706,0.0020464101484366
maker,0.698,0.544,0.706,4.23,-0.5839951009263035,0.8833368879345449
makeshift,0.479,0.611,0.389,3.18,-0.4049899599408941,0.7897654753951957
makeup,0.74,0.333,0.331,4.39,1.5838858186229492,0.000741099118752
malady,0.19,0.686,0.304,2.55,-0.0112541143131849,0.5090418702099426
malaise,0.15,0.6,0.161,2.84,-0.6074064388311539,0.89035002145691
malaria,0.125,0.653,0.304,3.65,0.3380806214314669,0.2510754256349569
malarkey,0.396,0.5,0.465,2.41,-0.8199020783966082,0.9512074808608372
malevolent,0.094,0.854,0.613,2.92,-0.3018540882663171,0.728208662299653
malfeasance,0.062,0.745,0.325,2.6,-0.7974905025740289,0.9438742978086104
malformation,0.083,0.602,0.357,2.43,0.8072874981002165,0.0516265755524152
malfunction,0.125,0.577,0.229,3.29,1.2540470334563227,0.0068996407118467
malice,0.073,0.811,0.492,3.34,-0.518813952011298,0.8423622329796707
malicious,0.177,0.765,0.607,3.67,-0.118529569817434,0.5873725776559338
malign,0.14,0.765,0.481,2.59,-0.2128819570144928,0.6646425786276301
malignancy,0.149,0.814,0.614,2.65,0.6468098920502563,0.0993522580168811
malignant,0.143,0.824,0.37,3.33,0.4402876169078387,0.1860067165565897
maligned,0.102,0.684,0.218,2.69,-1.1003859968227958,0.9874311005671637
mall,0.724,0.663,0.492,4.29,0.6702095719386681,0.0916405328879557
malleable,0.5,0.5,0.391,2.82,-0.0996713766800091,0.5792682874536593
mallet,0.354,0.39,0.483,3.0,-0.6712171202815196,0.909993136252956
malnutrition,0.024,0.592,0.277,3.24,0.4846313199003487,0.169423071012899
malpractice,0.094,0.559,0.33,3.25,0.0698058327065905,0.4397499799651617
malt,0.75,0.373,0.324,3.41,-0.5654718347719553,0.8683060453961555
mama,0.86,0.413,0.728,4.24,0.8682332782415265,0.0399760153517562
mambo,0.808,0.622,0.445,2.78,-0.6130086353515993,0.8909217436374333
mamma,0.6,0.358,0.449,3.32,0.8786872725803392,0.0369168163488904
mammal,0.618,0.449,0.421,3.31,0.0886580914041173,0.4273274323939456
mammoth,0.48,0.471,0.537,3.4,-0.7923090499076936,0.945520455745956
mammy,0.68,0.415,0.436,2.62,0.6821724794081374,0.0860349347558304
manage,0.56,0.53,0.719,4.54,0.0313813101204041,0.4740832518605656
manageable,0.75,0.361,0.655,3.38,0.6248537223003615,0.1069203564085334
management,0.792,0.491,0.806,5.13,-0.4556341180444497,0.8189809417421108
manager,0.625,0.549,0.897,4.97,-0.8608513892129971,0.956901507778072
managerial,0.604,0.52,0.791,3.56,-0.7258154237560962,0.9268003322848856
mandamus,0.439,0.577,0.556,2.01,-0.6921168667681068,0.9200490435617958
mandarin,0.625,0.398,0.491,3.52,0.5957070541996785,0.113508984068718
mandate,0.448,0.67,0.779,3.97,-0.5392539129463984,0.86330854368407
mandatory,0.271,0.667,0.777,4.13,-0.3359233415621994,0.7427427091516744
mandible,0.51,0.431,0.5,2.75,0.1417786357512287,0.3970942802081387
mandolin,0.708,0.433,0.367,2.78,-0.818904674096618,0.9507691800852018
mandrel,0.31,0.49,0.481,2.22,0.0241508651991398,0.4839060099926072
mane,0.521,0.277,0.373,3.33,-0.075986776769181,0.560464056319262
maneuver,0.615,0.663,0.608,3.53,-0.5308848840804554,0.85852700307208
maneuvering,0.635,0.64,0.745,3.09,-0.2754489966881284,0.7111419917672422
mange,0.311,0.558,0.348,2.5,-0.5149947853362241,0.8513454595602409
manger,0.656,0.276,0.398,2.99,-1.1360247539570407,0.988595353899266
mangle,0.292,0.449,0.355,2.39,0.0747058281822224,0.4459267130789512
mango,0.765,0.327,0.29,3.56,0.59855256692884,0.1153893073259322
mangosteen,0.562,0.5,0.414,1.84,1.0527149771873476,0.0184448732174704
mangy,0.214,0.698,0.27,2.1,-1.059841712468732,0.98284153303786
manhole,0.378,0.5,0.516,2.75,-0.1242661641633251,0.6044361815992861
manhood,0.625,0.735,0.858,3.16,-0.7236420602959004,0.9248716670171394
manhunt,0.145,0.925,0.657,3.03,-0.9623071357547704,0.973170981290044
mania,0.29,0.683,0.382,3.44,0.2485652300072185,0.3072684953426153
maniac,0.12,0.849,0.431,3.22,-0.6093154251079022,0.8888955233865341
maniacal,0.2,0.848,0.5,2.61,-0.9514378107441238,0.9712656918503788
manic,0.054,0.892,0.368,3.32,0.2065719729730797,0.3381490478252981
manicure,0.706,0.308,0.284,2.99,1.4329454407867903,0.0018956593591988
manicurist,0.583,0.352,0.341,1.97,1.8298943209314045,0.0001216919965018
manifest,0.667,0.647,0.704,3.68,-0.3059473154426624,0.7260849449071995
manifestation,0.583,0.75,0.655,3.43,-0.2051838525570222,0.6629048442803285
manifested,0.58,0.618,0.667,3.28,-0.4193485316938379,0.7965145380268199
manifestly,0.469,0.588,0.577,2.67,-0.6992694687171102,0.9204725257296742
manifesto,0.646,0.519,0.676,3.65,-0.8720363572981132,0.9595484710397126
manifold,0.5,0.461,0.435,3.32,-0.8987411311631497,0.964515245766736
manipulate,0.255,0.7,0.772,3.69,-0.1157802282497579,0.597077941902975
manipulation,0.188,0.775,0.536,3.85,-0.360039433760944,0.7686060472548076
manipulative,0.177,0.724,0.546,3.25,1.4975030815504364,0.0014824929534705
mankind,0.823,0.471,0.768,3.88,-1.027166753987234,0.979216532232768
manly,0.698,0.633,0.846,3.66,-0.5445270668110361,0.8651641443406692
manna,0.698,0.294,0.544,2.8,-1.0470468704336335,0.9810111921293728
manned,0.551,0.588,0.484,3.47,-0.8395151323052936,0.953813069791161
mannequin,0.427,0.302,0.295,3.06,0.9492869943034108,0.0291809418822184
manner,0.618,0.25,0.32,4.55,-0.3714210212881654,0.7741334820632968
mannered,0.469,0.556,0.291,3.04,-0.2018406302790031,0.6598785126220894
manners,0.816,0.284,0.517,3.83,0.0923295686076957,0.4272448471464897
manor,0.646,0.358,0.738,3.81,-0.4711167868725361,0.829336456595765
manpower,0.531,0.62,0.543,3.46,-0.6843751226369341,0.9152545190098362
mansion,0.847,0.49,0.717,4.02,-0.1105066092943048,0.5960651567012802
mansions,0.735,0.529,0.777,3.2,-0.3367805330466168,0.7511309555815562
manslaughter,0.09,0.92,0.473,3.38,-0.9349914073903614,0.9683620538121804
mantel,0.5,0.265,0.471,2.91,0.7344641186903438,0.0703573364595473
mantis,0.48,0.355,0.421,3.11,-0.3257247637273077,0.7440417982798057
mantle,0.51,0.269,0.422,3.62,-0.4573487590359095,0.8235362873771772
mantra,0.396,0.249,0.357,3.5,-0.2244651021315261,0.6716108094603627
manual,0.635,0.245,0.449,4.32,-0.922800774042154,0.967489929350565
manufacture,0.868,0.703,0.78,3.98,-0.6767066718750676,0.9130882522909942
manufacturer,0.688,0.537,0.83,4.21,0.5573720674575966,0.1325031415959229
manufacturing,0.653,0.613,0.804,4.56,-0.7056744235415235,0.9213877347194316
manure,0.25,0.471,0.241,3.2,-0.5620986315405979,0.8731961285108116
manuscript,0.51,0.208,0.54,3.92,-0.0201840085720745,0.5150232366215748
map,0.561,0.229,0.463,4.76,-0.3651977762826599,0.7725978600350696
maple,0.541,0.39,0.339,3.86,0.1885110241126526,0.3533320422719778
mar,0.622,0.544,0.545,4.19,0.0634188747308933,0.4450219240120882
marathon,0.646,0.778,0.74,4.16,0.3542632961530946,0.2359045751425599
marble,0.604,0.212,0.667,3.96,0.2240148378332104,0.3288651703562431
marbled,0.396,0.385,0.418,2.66,0.5468906993929324,0.138690744318678
marbles,0.714,0.345,0.241,3.19,-0.1556968082847631,0.6212514058292817
march,0.531,0.2,0.483,5.26,-1.1360957368942584,0.9881250444688894
mare,0.541,0.32,0.417,3.6,0.9643843147664096,0.027966185590829
margarine,0.53,0.316,0.333,2.83,1.019050422149255,0.0208431091653586
margarita,0.75,0.438,0.42,3.3,1.1276153591837317,0.0128500902120325
margin,0.5,0.219,0.331,4.27,-0.6264901640540204,0.8943491150402905
marginal,0.235,0.644,0.345,3.71,-0.9145948121233172,0.9665828169552304
mariachi,0.71,0.559,0.609,2.81,-0.1476616283404477,0.6149734579952554
marijuana,0.312,0.779,0.558,4.2,-0.6170260230110218,0.8915263849896482
marinara,0.657,0.388,0.435,2.53,0.5933175058129113,0.1142568901715861
marine,0.633,0.471,0.679,4.53,-0.5972686366450124,0.8807385478233998
mariner,0.652,0.491,0.676,3.03,-1.0046888708745616,0.9777944530371974
marital,0.76,0.529,0.5,3.59,0.912285603682301,0.0339281224525543
maritime,0.646,0.49,0.713,3.96,-0.6761926411793723,0.914027331718222
mark,0.491,0.231,0.6,5.05,-0.848101327490861,0.953136075956945
marked,0.592,0.358,0.554,4.5,-0.3705131804981967,0.7744001348022664
marker,0.5,0.333,0.605,3.87,0.5267036929515078,0.1459945887781126
market,0.724,0.48,0.521,5.29,-0.0955401077735046,0.5768924733957184
marketable,0.746,0.545,0.664,3.06,0.1550179420077767,0.3808964380121695
marketing,0.521,0.774,0.675,4.78,-0.5776226226385734,0.8783074621135071
marketplace,0.698,0.42,0.525,3.82,0.0279745512973633,0.4788502058330354
marks,0.43,0.48,0.424,4.49,-0.0820393620747488,0.5696461790126457
marksman,0.5,0.833,0.692,2.88,-1.4230056994435762,0.9978154386212942
marksmanship,0.573,0.531,0.664,2.57,-0.808003671290953,0.9452239223023604
marl,0.372,0.471,0.351,2.56,-1.3542603124776469,0.9970932540685548
marmalade,0.729,0.37,0.288,2.89,1.207975184292012,0.0072763537288826
maroon,0.469,0.358,0.336,3.35,0.4664656207262884,0.1769973025868707
marooned,0.229,0.48,0.16,2.64,-0.5904406399737784,0.8743509079275846
marquee,0.602,0.284,0.508,3.18,-0.4399017577132501,0.8113364947062149
marquis,0.521,0.444,0.562,3.45,-0.8438527282583618,0.95468751890137
marred,0.181,0.561,0.233,3.09,-0.5096405249999925,0.844678384137263
marriage,0.844,0.684,0.75,4.91,1.0021612094640406,0.0225591709181531
married,0.674,0.57,0.602,5.03,0.4988922496482127,0.1569577519687299
marrow,0.398,0.422,0.472,3.53,0.8212919909651805,0.0520012121285902
marry,0.896,0.765,0.673,4.4,0.6696939278646081,0.0838108728691675
marsh,0.302,0.358,0.277,3.87,0.4446662668580103,0.1901689191474833
marshal,0.469,0.61,0.819,3.87,-1.1884644929103017,0.991061729414206
marshmallow,0.74,0.441,0.391,3.15,0.4682435813901655,0.1740975143713536
mart,0.531,0.402,0.418,3.69,0.015826872172789,0.4897924721062795
martial,0.48,0.71,0.737,4.06,-1.1480077886447415,0.9898877538622232
martingale,0.469,0.51,0.455,2.22,-0.7871180662207083,0.9395889950714744
martini,0.828,0.5,0.519,3.27,0.5823303602916247,0.1255429616083097
martyr,0.281,0.708,0.509,3.46,-0.924902152685714,0.9667538924881024
martyrdom,0.323,0.745,0.442,3.16,-1.088460095497984,0.9859157133892869
marvel,0.961,0.755,0.866,4.16,-0.8812931205940371,0.959659834780521
marvellous,0.878,0.809,0.849,3.4,-0.0389861684339645,0.5315133617076223
marvelous,0.948,0.637,0.778,3.53,0.4462734396751522,0.1884276243996883
marvelously,0.968,0.708,0.764,2.3,0.2224236861043354,0.3264909805244613
marzipan,0.684,0.38,0.258,2.46,0.9231010469464596,0.0334932616658283
mascara,0.575,0.45,0.269,3.33,1.4104017445130277,0.0023746969642011
mascot,0.75,0.337,0.337,3.62,-0.9302675647014004,0.9692689320235442
masculine,0.653,0.54,0.773,3.71,0.0383326450705472,0.4775957586391482
masculinity,0.583,0.67,0.851,3.37,-0.0521223804325816,0.5390674493818007
mash,0.44,0.363,0.283,3.55,-0.5652030045666898,0.8735580897328565
mashed,0.531,0.337,0.194,3.39,0.3787161146648302,0.2293458138651541
mask,0.51,0.49,0.537,4.31,-0.1650152178332719,0.6278790392535466
masked,0.375,0.549,0.518,3.65,-0.0215151775844399,0.5132733197244272
masks,0.51,0.472,0.241,3.88,0.22244862475537,0.3310327668620006
masochism,0.194,0.845,0.483,2.42,0.1425653880272825,0.3836631717149728
masochist,0.164,0.784,0.353,2.44,0.6302151051342044,0.1037939097001621
mason,0.541,0.442,0.58,4.14,-0.4783612252224304,0.8306995847612506
masquerade,0.431,0.633,0.446,3.05,0.9554166473319242,0.0279017311187685
mass,0.458,0.245,0.277,4.87,-0.4974610694568682,0.843578976162929
massacre,0.031,0.887,0.64,3.91,-0.8031674540455074,0.9449563198993496
massage,0.708,0.356,0.413,4.01,1.1005829503015458,0.0148738105217243
masses,0.552,0.453,0.473,3.94,-0.6694499435656375,0.9095168550341848
masseur,0.622,0.265,0.463,2.35,-0.5953048681043304,0.8829989154235345
masseuse,0.594,0.373,0.391,2.62,1.0844091127409825,0.0167622516738744
massive,0.569,0.66,0.75,4.72,-0.323021807685625,0.7451613062325038
mast,0.542,0.39,0.58,3.52,0.0841535704599245,0.4289604320449054
master,0.694,0.49,0.849,4.93,-1.2380450294635466,0.9930954619338404
masterful,0.854,0.51,0.96,3.06,-0.7553780581644909,0.9324429920070156
mastermind,0.792,0.625,0.918,3.36,-1.553496777012458,0.9989553589588464
masterpiece,0.926,0.623,0.847,3.81,-0.6169674280548856,0.8945002832260593
mastery,0.755,0.648,0.873,3.57,-0.6496368768442423,0.902537315345461
masturbate,0.552,0.926,0.5,3.18,1.1922374813462673,0.0081260448054131
masturbation,0.542,0.961,0.509,3.46,0.8842792144911658,0.0371286920779191
mat,0.459,0.221,0.304,3.84,-0.3210517608316707,0.7446816057876197
matador,0.224,0.88,0.667,2.77,-1.205409904239025,0.9919851986622296
match,0.599,0.573,0.5,5.13,-0.3920172731625142,0.7823148408175018
matchbook,0.562,0.391,0.412,2.01,0.5512348166393792,0.1368354940842649
matching,0.719,0.735,0.418,4.1,1.186945482235113,0.0087816163709955
matchmaker,0.615,0.509,0.519,2.79,0.9466230898908958,0.0287910999380496
mate,0.847,0.417,0.669,4.55,-1.1175580975684147,0.9872195435179764
material,0.521,0.363,0.439,4.95,-0.2905597771312936,0.7141120720130436
materialism,0.22,0.39,0.556,3.05,-0.6634903579725079,0.9071245835876348
materialist,0.255,0.491,0.504,2.61,-0.8729328126229612,0.9580578954811518
materialistic,0.42,0.506,0.589,2.99,0.6549566172499285,0.0965727688974389
materiality,0.417,0.45,0.636,2.46,0.45055966465452,0.1819280846669628
materialize,0.688,0.596,0.728,2.99,-0.042907135119275,0.5344172125929474
materially,0.49,0.451,0.67,3.36,-0.0585844859181722,0.541444466110162
materials,0.633,0.361,0.473,4.78,0.1277503145839902,0.3978513143015787
materiel,0.531,0.294,0.417,2.8,-1.171383258760785,0.991332190524264
maternal,0.847,0.417,0.634,3.77,0.8855251172164004,0.0366075855159955
maternity,0.865,0.48,0.622,3.66,1.6950242775461948,0.0003682413606013
math,0.417,0.375,0.6,4.45,-0.0659672118383225,0.5551182199000375
mathematical,0.62,0.5,0.548,4.04,-0.632487018908719,0.8987412408665214
mathematician,0.541,0.418,0.773,3.24,-1.141377288213429,0.9884548194373723
mathematics,0.438,0.435,0.664,4.15,-0.5772665025815299,0.8753811779958257
matinee,0.694,0.578,0.447,2.82,-0.6106739882322357,0.890082416004941
mating,0.755,0.84,0.759,3.5,0.3151933422062768,0.2629974350650711
matriculation,0.622,0.49,0.675,2.65,0.2479750663629916,0.3055555198536369
matrimony,0.85,0.637,0.843,2.92,0.9326010318603796,0.0306344298806016
matrix,0.551,0.378,0.673,4.07,-0.5479208394258857,0.8611712324861673
matron,0.52,0.519,0.555,3.01,1.5607304858093962,0.0008423198833084
matted,0.281,0.519,0.393,2.75,-0.1069515669897295,0.5882503567382809
matter,0.487,0.353,0.562,5.38,-0.390877143158337,0.7863955414634412
matting,0.479,0.405,0.423,2.46,0.0485373069159631,0.4686876753675247
mattress,0.612,0.255,0.397,3.67,0.8622000634043644,0.0418598351648069
maturation,0.612,0.439,0.698,2.99,-0.2180633318009576,0.6706450761507314
mature,0.625,0.347,0.6,4.28,0.8462841023663731,0.0456715843421672
maturity,0.827,0.4,0.806,3.87,-0.5053154936123468,0.842559670904847
maudlin,0.337,0.417,0.368,2.39,0.4158763554979938,0.2029332677388216
mausoleum,0.344,0.281,0.594,2.94,-0.7992026803418558,0.9447597734204682
mauve,0.533,0.33,0.314,2.71,1.3054007491023616,0.0044297554655885
maverick,0.354,0.676,0.409,3.33,-1.35265213962977,0.9964968152204556
maxim,0.875,0.562,0.887,3.39,0.2672833413586252,0.3004103811114794
maximize,0.823,0.765,0.792,3.63,-0.0227052310922035,0.517398168303538
maximum,0.724,0.724,0.852,4.6,-0.2713073588328959,0.7034366771081642
may,0.704,0.273,0.245,5.98,-0.4374503428169474,0.8077037612716509
mayday,0.344,0.643,0.423,2.91,-0.3078737202480535,0.7321295676343287
mayflower,0.69,0.463,0.429,2.83,-0.2323630649112072,0.6772716475376629
mayhem,0.188,0.87,0.364,3.45,-0.5254428794550018,0.8534218987945392
mayonnaise,0.51,0.32,0.222,3.24,0.7959435937046679,0.0574137409561003
mayor,0.469,0.481,0.818,4.62,-1.059707813088925,0.9833721915944
